3D capture:,3D:,Additional microphone(s):,Bluetooth:,Broadcast Mobile TV:,CDMA:,Charging:,Colors:,Data:,Dimensions with the dock:,Dimensions:,Display size:,Dock Features:,Dual SIM:,EU SAR:,External antenna:,Features:,Fifth camera:,Flash:,Fourth camera:,Front:,GSM:,HD Voice:,HDMI:,Headphones connector:,Hearing aid compatibility:,In The Box:,LTE (FDD):,LTE (TDD):,MSRP price:,Main camera:,Materials:,Maximum User Storage:,Mobile Payment:,Model without AMPS is also available (FCC ID:,None,Notifications:,OS:,Other features:,Other:,Peak brightness:,Phone functionality:,Projector:,ROM:,Radio:,Rear:,Resistance:,Resolution:,SIM type:,Screen mirroring:,Second camera:,Sensors:,Speakers:,Storage expansion:,Tablet dock:,Technology:,Third camera:,UMTS:,USB:,Unnamed: 0,Video playback:,Video recording:,VoLTE:,Warranty period:,Weight with the dock:,Weight:,Wi-Fi:,rating
,,,4.0,,,,Black,"HSDPA+ (4G) 42.2 Mbit/s, HSUPA 11 Mbit/s",,5.43 x 2.62 x 0.30 inches (138 x 66.6 x 7.5 mm),4.7 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass (Dragontrail), Oleophobic coating",,LED,,1.3 megapixels,"850, 900, 1800, 1900 MHz",,,,,,,,,13.1 megapixels,,13 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.2),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,"FM, RDS",Single camera,,720 x 1280 pixels,Micro SIM,DLNA,,"Accelerometer, Compass","Earpiece, Loudspeaker",,,IPS LCD,,"900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 b, g, n",9.0
,,,4.0,,,,"Black, Pink, White","HSDPA+ (4G) 21.1 Mbit/s, HSUPA 5.76 Mbit/s",,4.80 x 2.54 x 0.47 inches (122 x 64.4 x 11.95 mm),4.0 inches,,,,,"Ambient light sensor, Proximity sensor",,,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,,3.5mm,M3,,,,,5 megapixels,,1.9 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.2),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,"FM, RDS",Single camera,,480 x 800 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,TFT,,"850, 1900, 2100 MHz",USB 2.0,0,,Yes,,,,None,"802.11 b, g, n",6.0
,,,4.0,,,,"Gray, Pink, Blue","HSDPA+ (4G) 21.1 Mbit/s, HSUPA 5.76 Mbit/s",,5.00 x 2.44 x 0.31 inches (127.1 x 62 x 7.9 mm),4.3 inches,,,,,"Ambient light sensor, Proximity sensor, Oleophobic coating",,LED,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,,3.5mm,M3,,,,,5 megapixels,,2 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.2),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,"FM, Stereo, RDS",Single camera,,480 x 854 pixels,Micro SIM,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,IPS LCD,,"900, 2100 MHz",USB 2.0,0,,1280x720 (HD),,,,None,"802.11 b, g, n",9.0
,,,2.1,,,,Black,HSPA,,4.09 x 2.07 x 0.68 inches (104 x 52.5 x 17.25 mm),2.4 inches,,,,,"Numeric keypad, Soft keys, D-Pad",,,,,"850, 900, 1800, 1900 MHz",,,,"M3, T3",,,,,2 megapixels,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Flight mode",,,,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,Loudspeaker,up to 32 GB,,TFT,,"850, 2100 MHz",USB 2.0,0,,,,,,None,,5.5
,,,4.0,,,,"Yellow, Red","HSDPA+ (4G) 42.2 Mbit/s, HSUPA 11 Mbit/s",,5.53 x 2.66 x 0.27 inches (140.4 x 67.5 x 6.9 mm),5.0 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass (Dragontrail), Oleophobic coating",,LED,,2 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,13.1 megapixels,,5.6 GB,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.4.2, 4.2)","Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,"FM, Stereo, RDS",Single camera,,1080 x 1920 pixels,Micro SIM,DLNA,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,IPS LCD,,"900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 b, g, n",5.0
,,,4.0,,,,"Black, Yellow, Red","HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,5.29 x 2.70 x 0.25 inches (134.4 x 68.5 x 6.45 mm),4.7 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass",,LED,,1.3 megapixels,"850, 900, 1800, 1900 MHz",,,microUSB,,"Slim charger head, microUSB cable, In-ear stereo headset, microUSB to 3.5mm jack adaptor, Quick guide",,,,8 megapixels,,13.3 GB,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.1),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,"FM, Stereo, RDS",Single camera,,720 x 1280 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",,,Super AMOLED,,"900, 2100 MHz",USB 2.0,0,None,1280x720 (HD) (30 fps),,,,None,"802.11 b, g, n",7.0
,,for Noise cancellation,4.0,,,,"Black, Yellow, Red, White","HSDPA+ (4G) 42.2 Mbit/s, HSUPA 11 Mbit/s, UMTS",,5.67 x 2.95 x 0.33 inches (144 x 75 x 8.5 mm),5.0 inches,,Yes,,,Stylus,,LED,,1.3 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,"M3, T3",,,,,8 megapixels,,2 GB,,,None,"Haptic feedback, Music ringtones, Vibration, Silent mode",Android (4.2),"Voice dialing, Voice commands, Voice recording","Computer sync, OTA sync",,,,,"FM, RDS",Single camera,,720 x 1280 pixels,Micro SIM,,,"Gyroscope, Compass",Loudspeaker,up to 32 GB,,IPS LCD,,"900, 2100 MHz",USB 2.0,0,None,1920x1080 (Full HD) (30 fps),,,,None,"802.11 b, g, n",9.0
,,,4.0,,,,,"HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,5.24 x 2.66 x 0.31 inches (133 x 67.5 x 7.9 mm),4.7 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass, Oleophobic coating",,LED,,2 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,8 megapixels,,2.4 GB,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.1.1),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,540 x 960 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,IPS LCD,,"900, 2100 MHz",USB 2.0,0,,1280x720 (HD),,,,None,"802.11 b, g, n",8.8
,,,3.0,,"800, 1900 MHz",,Black,,,5.00 x 2.6 x 0.39 inches (127 x 68 x 9.8 mm),4.3 inches,,,,,Touch sensitive control keys,,LED,,0.3 megapixels VGA,,,Yes,3.5mm,"M4, T3",,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (2.3),"Voice dialing, Voice commands, Voice recording, TTY/TDD","Tethering, Computer sync, OTA sync",,,,2048 MB,"FM, Stereo, RDS",Single camera,,480 x 800 pixels,,DLNA,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,TFT,,"900, 2100 MHz",USB 2.0,0,,1280x720 (HD) (30 fps),,,,None,"802.11 b, g, n",9.0
,,,3.0,,,,Black,"HSDPA 14.4 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,5.00 x 2.68 x 0.39 inches (127 x 68 x 9.8 mm),4.3 inches,,,,,Touch sensitive control keys,,LED,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,Yes,3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (2.3.4),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,2048 MB,"FM, Stereo, RDS",Single camera,,480 x 800 pixels,,DLNA,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,TFT,,"900, 2100 MHz",USB 2.0,0,,1280x720 (HD) (30 fps),,,,None,"802.11 b, g, n",5.8
,,,"2.1, EDR",,,,,,,,2.4 inches,,,,,"Numeric keypad, Soft keys, D-Pad",,,,,"900, 1800 MHz",,,,,,,,,,,,,,167 ppi,"Music ringtones, Polyphonic ringtones, Vibration, Silent mode",,,,,,,,"FM, RDS",,,240 x 320 pixels,,,,,,up to 16 GB,,TFT,,,,0,,,,,,,,7.0
,,,,,,,,,,,1.8 inches,,,,,"Full keyboard, Soft keys, D-Pad, Music control keys",,,,,"900, 1800 MHz",,,,,,,,,,,,,,None,"Music ringtones, Polyphonic ringtones, Vibration, Silent mode, Speakerphone",,,,,,,,"FM, RDS",,,160 x 128 pixels,,,,,,up to 2 GB,,TFT,,,,0,,,,,,None,,6.0
,,,,,,,,,,,1.5 inches,,,,,"Numeric keypad, Soft keys, D-Pad",,,,,"900, 1800 MHz",,,,,,,,,0.3 megapixels VGA,,,,,None,"Music ringtones, Polyphonic ringtones, Vibration, Silent mode, Speakerphone",,,,,,,,"FM, Recording option",Single camera,,128 x 128 pixels,,,,,,up to 2 GB,,TFT,,,,0,,,,,,,,5.0
,,,,,,,,,,,1.8 inches,,,,,"Numeric keypad, Soft keys, D-Pad",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,,,,,,None,"Music ringtones, Polyphonic ringtones, Vibration, Silent mode, Speakerphone",,,,,,,,FM,,,128 x 169 pixels,,,,,Earpiece,,,TFT,,,,0,,,,,,,,4.0
,,,,,,,,,,,2.8 inches,,Yes,,,,,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Music ringtones, Polyphonic ringtones, Vibration, Silent mode, Speakerphone",,,,,,,,,Single camera,,240 x 320 pixels,,,,,,,,,,,,0,,,,,,None,Yes,4.0
,,,2.1,,,,,"HSPA, UMTS",,,2.8 inches,,,,,,,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,143 ppi,,Android (2.2),,,,,,,,Single camera,,240 x 320 pixels,,,,,,up to 32 GB,,,,,USB 2.0,0,,Yes,,,,None,"802.11 b, g",5.0
,,,,,,,,,,,1.8 inches,,Yes,,,"Numeric keypad, Soft keys, D-Pad",,,,,"900, 1800 MHz",,,,,,,,,0.1 megapixels CIF (288x352),,,,,114 ppi,"Music ringtones, Polyphonic ringtones, Vibration, Silent mode, Speakerphone",,,,,,,,"FM, RDS",Single camera,,128 x 160 pixels,,,,,,up to 2 GB,,TFT,,,,0,,,,,,None,,4.0
,,,,,,,,,,,1.8 inches,,,,,"Soft keys, D-Pad",,,,,"900, 1800 MHz",,,,,,,,,0.3 megapixels VGA,,,,,None,"Music ringtones, Polyphonic ringtones, Vibration, Silent mode, Speakerphone",,,,,,,,FM,Single camera,,128 x 160 pixels,,,,,,up to 2 GB,,TFT,,,,0,,,,,,,,5.0
,,,,,,,"Orange, Green, Red, Gray",,,4.17 x 1.81 x 0.57 inches (106 x 46 x 14.5 mm),1.3 inches,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800 MHz",,,,,,,,,,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Speakerphone",,,,,,,,,,,96 x 64 pixels,,,,,Earpiece,,,STN,,,,0,,,,,,None,,3.0
,,,3.0,,,,"Black, Pink, Red","UMTS, HSDPA 7.2 Mbit/s",,4.33 x 2.26 x 0.49 inches (110 x 57.4 x 12.4 mm),2.8 inches,,,,,,,,,,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,2 megapixels,,,,,A-GPS,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Flight mode, Silent mode, Speakerphone",Android (2.2),Voice recording,"Computer sync, OTA sync",,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,TFT,,"900, 2100 MHz",USB 2.0,0,,800 x 480 pixels 30 fps,,,,None,"802.11 b, g",9.0
,,,2.1,,,,"Black, Pink, Blue, White",UMTS,,4.41 x 2.42 x 0.51 inches (112 x 61.5 x 12.9 mm),2.4 inches,,Yes,,,"Full keyboard, Soft keys, Optical Mouse (Touchpad)",,,,,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Flight mode, Silent mode, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,"Earpiece, Loudspeaker",up to 32 GB,,TFT,,"900, 2100 MHz",USB 2.0,0,,320x240 (QVGA) (15 fps),,,,None,,2.0
,,,2.1,,,,"Gray, Purple, Orange",,,4.33 x 2.28 x 0.50 inches (110 x 58 x 12.6 mm),2.8 inches,,Yes,,,,,,,,"850, 900, 1800, 1900 MHz",,,3.5mm,M3,,,,,2 megapixels,,,,,GPS,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Flight mode, Silent mode, Speakerphone","Android (2.2, 2.1)",Voice recording,"Computer sync, OTA sync",,,,,,Single camera,,240 x 320 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 16 GB,,TFT,,,USB 2.0,0,,320x240 (QVGA) (15 fps),,,,None,"802.11 b, g",8.7
,,,2.1,,,,"Gray, Purple, Orange, Green",,,4.49 x 2.21 x 0.59 inches (114 x 56.2 x 14.9 mm),3.2 inches,,,,,Full keyboard,,,,,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,2 megapixels,,,,,20.00 hours,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Flight mode, Silent mode, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,240 x 400 pixels,,,,Accelerometer,"Earpiece, Loudspeaker",up to 16 GB,,TFT,,,USB 2.0,0,,220x176 (15 fps),,,,,,9.0
,,,"2.1, EDR",,,,"Black, Gray, Brown",,,4.67 x 2.32 x 0.48 inches (118.5 x 59 x 12.2 mm),2.8 inches,,Yes,,,Full keyboard,,,,,"900, 1800 MHz",,,3.5mm,,,,,,2 megapixels,,,,,22.00 hours,"Haptic feedback, Music ringtones (MP3, WAV, MIDI), Vibration, Silent mode, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,"Earpiece, Loudspeaker",up to 8 GB,,TFT,,,USB 2.0,0,,Yes,,,,None,802.11 b,7.0
,,,"2.1, EDR",,,,"Black, Gray, Brown",,,4.67 x 2.32 x 0.48 inches (118.5 x 59 x 12.2 mm),2.8 inches,,,,,Full keyboard,,,,,"850, 1900 MHz",,,3.5mm,M3,,,,,2 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3, WAV, MIDI), Vibration, Silent mode, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,"Earpiece, Loudspeaker",up to 8 GB,,TFT,,,USB 2.0,0,,Yes,,,,None,802.11 b,9.0
,,,2.0,,,,"Black, White",,,4.41 x 2.39 x 0.56 inches (112 x 60.6 x 14.2 mm ),2.4 inches,,,,,"Full keyboard, Optical Mouse (Touchpad), Soft keys",,,,,"900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,16.00 hours,"Music ringtones (MP3, WAV, MIDI), Polyphonic ringtones (64 voices), Vibration, Flight mode, Silent mode, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,320 x 240 pixels,,,,,"Earpiece, Loudspeaker",up to 8 GB,,TFT,,,USB 2.0,0,,Yes,,,,None,,5.0
,,,2.0,,,,"Black, White",,,4.41 x 2.39 x 0.56 inches (112 x 60.6 x 14.2 mm ),2.4 inches,,,,,"Full keyboard, Optical Mouse (Touchpad), Soft keys",,,,,"850, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3, WAV, MIDI), Polyphonic ringtones (64 voices), Vibration, Flight mode, Silent mode, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,320 x 240 pixels,,,,,"Earpiece, Loudspeaker",up to 8 GB,,TFT,,,USB 2.0,0,,Yes,,,,None,,5.0
,,,"2.0, EDR",,,,"Black, Blue, Red, White",,,4.06 x 2.31 x 0.51 inches (103 X 58.6 X 12.85 mm),2.8 inches,,,,,,,,,,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,2 megapixels,,,,,20.00 hours,"Music ringtones (MP3, WAV, MIDI), Polyphonic ringtones (64 voices), Vibration, Flight mode, Silent mode, Speakerphone",,"Voice dialing, Voice recording",,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,"Earpiece, Loudspeaker",up to 8 GB,,TFT,,,Yes,0,,Yes,,,,None,,7.0
,,,"2.0, EDR",,,,"Black, Blue, Red, White",,,4.06 x 2.31 x 0.51 inches (103 X 58.6 X 12.85 mm),2.8 inches,,Yes,,,,,,,,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,2 megapixels,,,,,20.00 hours,"Music ringtones (MP3, WAV, MIDI), Polyphonic ringtones (64 voices), Vibration, Flight mode, Silent mode, Speakerphone",,"Voice dialing, Voice recording",,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,"Earpiece, Loudspeaker",up to 8 GB,,,,,Yes,0,,Yes,,,,None,,5.5
,,,2.0,,,,"Pink, Green, Blue, Red, Gray",,,4.37 x 2.29 x 0.55 inches (111 x 58.2 x 13.9 mm),2.4 inches,,,,,"Full keyboard, Soft keys, D-Pad",,,,,"900, 1800, 1900 MHz",,,,M3,,,,,2 megapixels,,,,,35.00 hours,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Flight mode, Silent mode, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,320 x 240 pixels,,,,Accelerometer,,up to 4 GB,,TFT,,,USB 2.0,0,,Yes,,,,None,,8.0
,,,2.0,,,,,,,3.78 x 2.06 x 0.57 inches (96 x 52.4 x 14.6 mm),2.4 inches,,,,,Touch sensitive area for navigation,,,,,"850, 1900 MHz",,,miniUSB,,,,,,1.3 megapixels,,,,,15.00 hours,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Flight mode, Speakerphone",,,Computer sync,,,,,FM,Single camera,,240 x 320 pixels,,,,,,up to 4 GB,,TFT,,,USB 1.1,0,,Yes,,,,None,,8.2
,,,2.0,,,,,,,3.78 x 2.06 x 0.57 inches (96 x 52.4 x 14.6 mm),2.4 inches,,,,,Touch sensitive area for navigation,,,,,"900, 1800 MHz",,,miniUSB,,,,,,1.3 megapixels,,,,,15.00 hours,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Flight mode, Speakerphone",,,Computer sync,,,,,FM,Single camera,,240 x 320 pixels,,,,,,up to 4 GB,,TFT,,,USB 1.1,0,,Yes,,,,None,,9.0
,,,,,,,,,,3.56 x 1.75 x 0.71 inches (90.5 x 44.5 x 18.2 mm),1.8 inches,,,,,"Numeric keypad, Soft keys",,,,,"850, 1900 MHz",,,,,,,,,,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Speakerphone",,,,,,,,,,,128 x 160 pixels,,,,,,,,CSTN,,,,0,,,,,,None,,5.0
,,,,,,,,,,3.85 x 1.67 x 0.72 inches (98 x 42.5 x 18.5 mm),,,,,,"Numeric keypad, Joystick, Soft keys",,,,,"850, 1900 MHz",,,2.5mm,,,,,,,,,,,None,"Polyphonic ringtones (8 voices), Vibration",,,,,,,,,,,96 x 76 pixels,,,,,,,,STN,,,,0,,,,,,None,,8.3
,,,2.0,,,,,,,3.77 x 1.96 x 0.70 inches (96 x 50 x 18 mm),,,,,,Soft keys,,,,,"850, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,,,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,USB 2.0,0,,Yes,,,,None,,7.4
,,,2.0,,,,,,,3.74 x 1.96 x 0.65 inches (95 x 50 x 16.7 mm),,,,,,Soft keys,,,,,"850, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,USB 2.0,0,,Yes,,,,None,,9.8
,,,2.0,,,,,,,3.50 x 1.81 x 0.86 inches (89 x 46 x 22 mm),,,,,,Soft keys,,,,,"900, 1800 MHz",,,,,,,,,0.3 megapixels VGA,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,USB 2.0,0,,Yes,,,,None,,9.1
,,,,,,,,,,3.94 x 1.81 x 0.83 inches (100 x 46 x 21 mm),,,,,,,,,,,"850, 1900 MHz",,,,,,,,,,,,,,None,"Polyphonic ringtones (16 voices), Vibration, Phone profiles",,,,,,,,,,,101 x 65 pixels,,,,,,,,,,,,0,,,,,,None,,7.6
,,,,,,,,,,4.17 x 1.81 x 0.72 inches (106 x 46 x 18.5 mm),,,,,,"Interchangeable covers, Soft keys",,,,,"900, 1800, 1900 MHz",,,,,,,,,0.3 megapixels VGA,,,,,None,"Polyphonic ringtones (32 voices), Vibration, Phone profiles",,"Voice dialing, Voice commands, Voice recording","Computer sync, Infrared",,,,,,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,9.0
,,,Yes,,,,Black,,,7.52 x 4.53 x 0.42 inches (191 x 115 x 10.6 mm),7.0 inches,,,,,,,,,0.3 megapixels VGA,,,,3.5mm,,"USB 2.0 cable, 5W power adapter, Quick Start Guide",,,$ 50,2 megapixels,,5 GB,,,Wi-Fi positioning,"Flight mode, Silent mode","Android (5.0 Lollipop), Amazon Fire OS UI","Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,600 x 1024 pixels,,,,Accelerometer,Loudspeaker,up to 128 GB,,IPS LCD,,,USB 2.0,0,,1280x720 (HD),,,,None,"802.11 b, g, n",8.5
,,,Yes,,,,"Black, Pink, Yellow, Blue, White",,,7.5 x 5.0 x 0.42 inches (190.5 x 127 x 10.7 mm),7.0 inches,,,,,Scratch-resistant glass (Corning Gorilla Glass),,,,0.3 megapixels VGA,,,,3.5mm,,"USB 2.0 cable, 5W power adapter, and Quick Start Guide",,,$ 159,2 megapixels,,12.2 GB,,,Wi-Fi positioning,"Flight mode, Silent mode","Android (4.4), Amazon Fire OS UI","Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,800 x 1280 pixels,,SlimPort,,"Accelerometer, Gyroscope",Multiple speakers,,,IPS LCD,,,USB 2.0,0,,1920x1080 (Full HD),,12 Months,,None,"802.11 b, g, n",7.0
,,Yes,"3.0, EDR",,,,"Black, Purple, Yellow, Blue, Red","LTE, HSPA, UMTS",,5.5 x 2.6 x 0.35 inches (140 x 66 x 9 mm),4.7 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,2.1 megapixels,"850, 900, 1800, 1900 MHz",Yes,,3.5mm,"M4, T4","Premium headphones with remote and mic, Micro USB to USB charging cable, USB power adapter (5W), Quick Start Guide","Bands 17, 20, 5, 8, 4, 3, 2, 1, 7",,$ 299,13 megapixels,,,,,"GPS, A-GPS, Glonass, Cell ID, Wi-Fi positioning","Notification light, Music ringtones (MP3), Vibration, Phone profiles, Flight mode, Silent mode, Speakerphone","Android (4.2.2), Amazon Fire OS UI","Voice dialing, Voice commands, Voice recording, TTY/TDD","NFC, Tethering, Computer sync",,,,,,Single camera,,720 x 1280 pixels,Nano SIM,Wireless screen share,,"Accelerometer, Gyroscope, Compass, Barometer","Earpiece, Multiple speakers",,,IPS LCD,,"850, 900, 1700/2100, 1900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD) (30 fps),,12 Months,,None,"802.11 a, b, g, n, dual-band, ac",9.0
,,,Yes,,,,Black,,,7.52 x 5.04 x 0.42 inches (191 x 128 x 10.6 mm),7.0 inches,,,,,"Ambient light sensor, Scratch-resistant glass",,,,Yes,,,,3.5mm,,"USB 2.0 cable, 5W power adapter, and Quick Start Guide",,,$ 139,,,5.1 GB,,,Wi-Fi positioning,,"Android (4.2.2), Amazon Fire OS UI",,"Computer sync, OTA sync",,,,,,,,1280 x 800 pixels,,,,"Accelerometer, Gyroscope",Multiple speakers,,,IPS LCD,,,USB 2.0,0,,,,12 Months,,None,"802.11 b, g, n, dual-band",9.0
,,Yes,Yes,,,,Black,"LTE, HSPA, UMTS",,7.32 x 5.04 x 0.35 inches (186 x 128 x 9.0 mm),7.0 inches,,,,,Ambient light sensor,,,,Yes,,,,3.5mm,,,,,$ 329,,,8.8 GB,,,"GPS, A-GPS, Wi-Fi positioning","Flight mode, Silent mode","Android (4.2.2), Amazon Fire OS UI","Voice commands, Voice recording","Tethering, Computer sync, OTA sync",400 cd/m2 (nit),,,,,,,1920 x 1200 pixels,,,,"Accelerometer, Gyroscope","Earpiece, Loudspeaker",,,LCD,,,USB 2.0,0,,,,,,None,"802.11 a, b, g, n",9.0
,,,,,,,Black,,,7.48 x 4.72 x 0.45 inches (190 x 120 x 11.4 mm),7.0 inches,,,,,Scratch-resistant glass,,,,,,,,3.5mm,,,,,,,,,,,7.50 hours,,Android (2.3),,"Computer sync, OTA sync",,,,,,,,1024 x 600 pixels,,,,,Multiple speakers,,,IPS LCD,,,USB 2.0,0,,,,12 Months,,None,"802.11 b, g, n",7.0
,,,"2.1, EDR",,,,White,"HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s",,4.92 x 2.56 x 0.43 inches (125 x 65 x 10.95 mm),4.0 inches,,Yes,,,Proximity sensor,,,,,"900, 1800, 1900 MHz",,,3.5mm,,,,,,3.2 megapixels,,,,,"GPS, A-GPS","Music ringtones, Polyphonic ringtones, Vibration, Flight mode, Silent mode",Android (2.3),"Voice dialing, Voice commands, Voice recording","Computer sync, OTA sync",,,,,FM,Single camera,,480 x 800 pixels,,,,Accelerometer,Loudspeaker,up to 32 GB,,,,"900, 2100 MHz",Yes,0,,,,,,None,"802.11 b, g",7.0
